ImageNumber	ObjectNumber	Metadata_Col	Metadata_Field	Metadata_Row	Metadata_Series	Metadata_T	Metadata_Well	Metadata_Z	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness
1	1	1	1	A	0	0	A1	0	12	320	49	50.178215994837
1	2	1	1	A	0	0	A1	0	573	1814	177	4.68391448019899
1	3	1	1	A	0	0	A1	0	1422	1541	354	2.61137303131072
1	4	1	1	A	0	0	A1	0	11148	190	435	1.69659695772789
1	5	1	1	A	0	0	A1	0	0	0	0	NA
1	6	1	1	A	0	0	A1	0	1817	595	951	2.56851283043113
1	7	1	1	A	0	0	A1	0	5	1593	1063	1.60849543863797
1	8	1	1	A	0	0	A1	0	9303	136	1101	2.61163302363036
1	9	1	1	A	0	0	A1	0	2032	348	1135	2.43731448632656
1	10	1	1	A	0	0	A1	0	1017	1700	1212	2.87634439173397
1	11	1	1	A	0	0	A1	0	39	366	1348	1.48650891958661
1	12	1	1	A	0	0	A1	0	0	0	0	NA
1	13	1	1	A	0	0	A1	0	0	0	0	NA
1	14	1	1	A	0	0	A1	0	1781	514	1491	5.5703218675325
1	15	1	1	A	0	0	A1	0	2601	453	1656	1.32403377814521
1	16	1	1	A	0	0	A1	0	585	2023	1716	1.71065480868117
1	17	1	1	A	0	0	A1	0	4726	342	1774	5.26020584334107
1	18	1	1	A	0	0	A1	0	959	1170	1860	3.01007687939079
1	19	1	1	A	0	0	A1	0	438	1785	1893	7.78064324728798
1	20	1	1	A	0	0	A1	0	1992	466	1907	2.37746875828364
1	21	1	1	A	0	0	A1	0	1223	1015	1862	3.15119924764923
1	22	1	1	A	0	0	A1	0	715	1344	77	1.89714561285891
1	23	1	1	A	0	0	A1	0	3428	1527	64	2.22675654192778
1	24	1	1	A	0	0	A1	0	5629	1260	136	2.2165062892452
1	25	1	1	A	0	0	A1	0	3559	1672	150	5.10534818498908
1	26	1	1	A	0	0	A1	0	0	0	0	NA
1	27	1	1	A	0	0	A1	0	3043	1628	231	2.09656776363411
1	28	1	1	A	0	0	A1	0	1225	1069	222	2.69356729478648
1	29	1	1	A	0	0	A1	0	2243	1304	261	2.01568410666463
1	30	1	1	A	0	0	A1	0	266	1273	281	3.48577297945215
1	31	1	1	A	0	0	A1	0	3454	1789	316	1.89552529220027
1	32	1	1	A	0	0	A1	0	3474	1592	297	1.85516131386132
1	33	1	1	A	0	0	A1	0	725	688	327	1.75272631417316
1	34	1	1	A	0	0	A1	0	3321	1942	382	2.10861045068109
1	35	1	1	A	0	0	A1	0	3867	980	381	2.55500352451798
1	36	1	1	A	0	0	A1	0	4401	474	402	4.08720676622163
1	37	1	1	A	0	0	A1	0	2147	1503	487	8.41734040732909
1	38	1	1	A	0	0	A1	0	21259	558	466	1.82845006770754
1	39	1	1	A	0	0	A1	0	1502	1701	444	2.02493388417076
1	40	1	1	A	0	0	A1	0	3458	1111	404	6.73774170931814
1	41	1	1	A	0	0	A1	0	3582	373	476	3.6238660285054
1	42	1	1	A	0	0	A1	0	5012	1376	462	1.55197544941304
1	43	1	1	A	0	0	A1	0	1259	1689	525	2.30342541049966
