ImageNumber	ObjectNumber	Metadata_Col	Metadata_Field	Metadata_Row	Metadata_Series	Metadata_T	Metadata_Well	Metadata_Z	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness
1	1	1	1	A	0	0	A1	0	1472	810.0	28.0	1.07175533424
1	2	1	1	A	0	0	A1	0	1773	171.0	35.0	1.09420707452
1	3	1	1	A	0	0	A1	0	882	343.0	31.0	1.00344119353
1	4	1	1	A	0	0	A1	0	1697	1308.0	39.0	1.99421445598
1	5	1	1	A	0	0	A1	0	940	68.0	45.0	1.01642629018
1	6	1	1	A	0	0	A1	0	672	1661.0	81.0	1.00246924048
1	7	1	1	A	0	0	A1	0	827	1409.0	99.0	1.0211259835
1	8	1	1	A	0	0	A1	0	847	772.0	110.0	1.00210697716
1	9	1	1	A	0	0	A1	0	1457	1619.0	149.0	2.29695843665
1	10	1	1	A	0	0	A1	0	868	496.0	133.0	1.00262753547
1	11	1	1	A	0	0	A1	0	888	718.0	141.0	1.0075128109
1	12	1	1	A	0	0	A1	0	976	1266.0	150.0	1.00656255572
1	13	1	1	A	0	0	A1	0	791	1775.0	149.0	1.00283250785
1	14	1	1	A	0	0	A1	0	880	121.0	156.0	1.03237782005
1	15	1	1	A	0	0	A1	0	668	1893.0	159.0	1.02390035433
1	16	1	1	A	0	0	A1	0	996	166.0	174.0	1.02081344042
1	17	1	1	A	0	0	A1	0	828	1505.0	178.0	1.0086473746
1	18	1	1	A	0	0	A1	0	818	51.0	187.0	1.01079139239
1	19	1	1	A	0	0	A1	0	856	763.0	187.0	1.02261492398
1	20	1	1	A	0	0	A1	0	769	1847.0	200.0	1.03247934422
1	21	1	1	A	0	0	A1	0	2451	1141.0	206.0	2.03771290398
1	22	1	1	A	0	0	A1	0	822	1900.0	209.0	1.02572995065
1	23	1	1	A	0	0	A1	0	751	1613.0	212.0	1.01599966442
1	24	1	1	A	0	0	A1	0	754	1795.0	225.0	1.01340480022
1	25	1	1	A	0	0	A1	0	1526	104.0	248.0	1.11542199474
1	26	1	1	A	0	0	A1	0	1818	1444.0	287.0	1.84177636827
1	27	1	1	A	0	0	A1	0	919	988.0	260.0	1.09869112706
1	28	1	1	A	0	0	A1	0	926	310.0	285.0	1.02800086316
1	29	1	1	A	0	0	A1	0	941	672.0	290.0	1.01707694355
1	30	1	1	A	0	0	A1	0	864	1189.0	295.0	1.00164206069
1	31	1	1	A	0	0	A1	0	996	561.0	326.0	1.03663869362
1	32	1	1	A	0	0	A1	0	939	851.0	321.0	1.02309397793
1	33	1	1	A	0	0	A1	0	1771	1544.0	335.0	2.34025355472
1	34	1	1	A	0	0	A1	0	919	787.0	328.0	1.01442746295
1	35	1	1	A	0	0	A1	0	884	187.0	333.0	1.02311673319
1	36	1	1	A	0	0	A1	0	965	482.0	345.0	1.02374685956
1	37	1	1	A	0	0	A1	0	1165	611.0	360.0	1.00814655914
1	38	1	1	A	0	0	A1	0	1063	249.0	364.0	1.00591310383
1	39	1	1	A	0	0	A1	0	919	1188.0	367.0	1.04686131126
