ImageNumber	ObjectNumber	Metadata_Col	Metadata_Field	Metadata_Row	Metadata_Series	Metadata_T	Metadata_Well	Metadata_Z	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness
1	1	1	1	A	0	0	A1	0	3123	1434.0	26.0	1.13263223177
1	2	1	1	A	0	0	A1	0	4636	1161.0	155.0	3.19815379853
1	3	1	1	A	0	0	A1	0	12864	1744.0	203.0	1.73026266105
1	4	1	1	A	0	0	A1	0	22667	1609.0	177.0	1.69208676662
1	5	1	1	A	0	0	A1	0	9245	1465.0	257.0	1.96405184522
1	6	1	1	A	0	0	A1	0	12043	1246.0	239.0	1.23762483024
1	7	1	1	A	0	0	A1	0	11413	1449.0	339.0	1.80271882832
1	8	1	1	A	0	0	A1	0	7843	878.0	365.0	1.96963674884
1	9	1	1	A	0	0	A1	0	4863	1299.0	369.0	1.49582099728
1	10	1	1	A	0	0	A1	0	7341	1897.0	408.0	2.40477793143
1	11	1	1	A	0	0	A1	0	10822	1664.0	391.0	1.73939769305
1	12	1	1	A	0	0	A1	0	4272	1029.0	436.0	4.96939135839
1	13	1	1	A	0	0	A1	0	2319	1488.0	419.0	1.11124853393
1	14	1	1	A	0	0	A1	0	6319	1215.0	441.0	1.37808630901
1	15	1	1	A	0	0	A1	0	2275	475.0	470.0	1.85698335821
1	16	1	1	A	0	0	A1	0	4976	933.0	495.0	7.72509913332
1	17	1	1	A	0	0	A1	0	6725	401.0	489.0	1.28770654682
1	18	1	1	A	0	0	A1	0	13977	1589.0	473.0	1.17394149783
1	19	1	1	A	0	0	A1	0	7178	1290.0	525.0	2.30138660194
1	20	1	1	A	0	0	A1	0	8272	1463.0	536.0	2.24824673557
1	21	1	1	A	0	0	A1	0	16867	768.0	590.0	1.50019509918
1	22	1	1	A	0	0	A1	0	16352	1167.0	581.0	1.26073642965
1	23	1	1	A	0	0	A1	0	11634	1354.0	617.0	1.05807817214
1	24	1	1	A	0	0	A1	0	6185	401.0	613.0	2.64358745819
1	25	1	1	A	0	0	A1	0	3276	1735.0	608.0	2.3527643543
1	26	1	1	A	0	0	A1	0	6020	532.0	660.0	6.04594188658
1	27	1	1	A	0	0	A1	0	3706	439.0	740.0	1.09933246427
1	28	1	1	A	0	0	A1	0	2273	743.0	728.0	1.54663064035
1	29	1	1	A	0	0	A1	0	10577	1894.0	904.0	1.39458834085
1	30	1	1	A	0	0	A1	0	11437	468.0	890.0	1.24150316909
1	31	1	1	A	0	0	A1	0	3429	731.0	913.0	1.4799367633
1	32	1	1	A	0	0	A1	0	1549	1572.0	936.0	1.37960664632
