well,Treatment,Konzentration
A1,Fn,1
A2,Fn,3
A3,Ko,1
A4,AT,1
A5,AT,1
A6,AT,1
A7,AT,2
A8,AT,2
A9,AT,2
A10,AT,2
A11,AT,2
A12,AT,2
B1,Fn,1
B2,Fn,3
B3,Ko,1
B4,AT,1
B5,AT,1
B6,AT,1
B7,AT,3
B8,AT,3
B9,AT,3
B10,AT,3
B11,AT,3
B12,AT,3
C1,Fn,1
C2,Fn,3
C3,Ko,1
C4,ET,1
C5,ET,1
C6,ET,1
C7,ET,2
C8,ET,2
C9,ET,2
C10,ET,2
C11,ET,2
C12,ET,2
D1,Fn,1
D2,Fn,3
D3,Ko,1
D4,ET,1
D5,ET,1
D6,ET,1
D7,ET,3
D8,ET,3
D9,ET,3
D10,ET,3
D11,ET,3
D12,ET,3
E1,Fn,2
E2,Ko,1
E3,Ko,1
E4,Iso,1
E5,Iso,1
E6,Iso,1
E7,Iso,2
E8,Iso,2
E9,Iso,2
E10,Iso,2
E11,Iso,2
E12,Iso,2
F1,Fn,2
F2,Ko,1
F3,Ko,1
F4,Iso,1
F5,Iso,1
F6,Iso,1
F7,Iso,3
F8,Iso,3
F9,Iso,3
F10,Iso,3
F11,Iso,3
F12,Iso,3
G1,Fn,2
G2,Ko,1
G3,Ko,1
G4,NE,1
G5,NE,1
G6,NE,1
G7,NE,2
G8,NE,2
G9,NE,2
G10,NE,2
G11,NE,2
G12,NE,2
H1,Fn,2
H2,Ko,1
H3,Ko,1
H4,NE,1
H5,NE,1
H6,NE,1
H7,NE,3
H8,NE,3
H9,NE,3
H10,NE,3
H11,NE,3
H12,NE,3
