well,Treatment,Konzentration
A1,Ko,1
A2,Ko,1
A3,Ko,1
A4,Ko,1
A5,Ko,1
A6,Ko,1
A7,Ko,1
A8,Ko,1
A9,Ko,1
A10,Ko,1
A11,Ko,1
A12,Ko,1
B1,A,1
B2,A,1
B3,A,1
B4,A,1
B5,A,1
B6,A,1
B7,A,2
B8,A,2
B9,A,2
B10,A,2
B11,A,2
B12,A,2
C1,A,3
C2,A,3
C3,A,3
C4,A,3
C5,A,3
C6,A,3
C7,D,3
C8,D,3
C9,D,3
C10,D,3
C11,D,3
C12,D,3
D1,D,1
D2,D,1
D3,D,1
D4,D,1
D5,D,1
D6,D,1
D7,D,2
D8,D,2
D9,D,2
D10,D,2
D11,D,2
D12,D,2
E1,Pe,1
E2,Pe,1
E3,Pe,1
E4,Pe,1
E5,Pe,1
E6,Pe,1
E7,Pe,2
E8,Pe,2
E9,Pe,2
E10,Pe,2
E11,Pe,2
E12,Pe,2
F1,Pe,3
F2,Pe,3
F3,Pe,3
F4,Pe,3
F5,Pe,3
F6,Pe,3
F7,Ins,3
F8,Ins,3
F9,Ins,3
F10,Ins,3
F11,Ins,3
F12,Ins,3
G1,Ins,1
G2,Ins,1
G3,Ins,1
G4,Ins,1
G5,Ins,1
G6,Ins,1
G7,Ins,2
G8,Ins,2
G9,Ins,2
G10,Ins,2
G11,Ins,2
G12,Ins,2
H1,Si,1
H2,Si,1
H3,Si,1
H4,Si,1
H5,Si,1
H6,Si,1
H7,Sc,1
H8,Sc,1
H9,Sc,1
H10,Sc,1
H11,Sc,1
H12,Sc,1
